"Наименование","ДатаПоставки","Цена","ОбъемЗаказа"
"Адаптер Atlas 3363094238","02.03.2018","4514,799363","2"
"Адаптер Atlas 3363094238","2018-03-01 00:00:00","4246,101911","2"
"Амортизатор  3546.03.04.012","2018-11-30 00:00:00","18047,7707","8"
"АМОРТИЗАТОР 041-55.04.1210","2016-11-30 00:00:00","891,7197452","3"
"АМОРТИЗАТОР 041-55.04.1210","2017-11-20 00:00:00","1100,636943","4"
"АМОРТИЗАТОР 041-55.04.1210","2016-11-30 00:00:00","891,7197452","1"
"АМОРТИЗАТОР 041-55.04.1210","2017-11-20 00:00:00","1100,636943","4"
"АМОРТИЗАТОР 041-55.04.1210","2017-11-25 00:00:00","1242,038217","8"
"АМОРТИЗАТОР 041-55.04.1210","2017-11-20 00:00:00","1100,636943","4"
"АМОРТИЗАТОР 041-55.04.1210","2017-11-20 00:00:00","1100,636943","4"
"АМОРТИЗАТОР 041-55.04.1210","2016-11-10 00:00:00","891,7197452","12"
"Амортизатор 041.55.04.1210","2018-04-10 00:00:00","1100,636943","4"
"Аппарат погл. 587100008","2018-12-07 00:00:00","38050,95541","2"
"Аппарат погл. ПМКП-110 587100008 ","30.08.2019","20382,80255","4"
"Аппарат погл. ПМКП-110 587100008 ","2020-10-02 00:00:00","20382,80255","3"
"Аппарат погл. ПМКП-110 587100008 ","29.11.2018","38050,95541","2"
"Аппарат погл. ПМКП-110 587100008 ","2019-09-10 00:00:00","20382,80255","4"
"Аппарат погл. ПМКП-110 587100008 ","07.09.2020","20382,80255","3"
"Балка рукояти 3711.38.01.000","2018-12-07 00:00:00","4451326,115","1"
"Балка рукояти 3711.38.01.000 ","2023-12-31 00:00:00","4467796,178","1"
"Балка рукояти 3711.38.01.000 ","2021-07-15 00:00:00","3305732,484","1"
"Балка рукояти 3711.38.01.000 ","14.12.2018","4451326,115","1"
"Балка рукояти 3711.38.01.000 ","2022-01-10 00:00:00","4467796,178","1"
"Балка рукояти 3711.38.01.000 ","2023-12-31 00:00:00","4467796,178","1"
"Баллон Atlas 9779100019","30.12.2017","3311,503185","2"
"Баллон Atlas 9779100019","2018-03-01 00:00:00","3226,095541","2"
"Барабан  3537.35.05.000","2019-04-07 00:00:00","1178508,28","1"
"Барабан  3546.00.04.250","2018-09-30 00:00:00","157077,0701","1"
"Барабан 1085.53.115 ","2019-10-15 00:00:00","9133,757962","2"
"Барабан 1085.53.115 ","16.10.2019","9133,757962","2"
"БАРАБАН 3532.10.04.001","2017-05-30 00:00:00","274222,9299","1"
"БАРАБАН 3532.10.04.001","2017-07-05 00:00:00","274222,9299","1"
"БАРАБАН 3532.10.04.001","2017-03-02 00:00:00","274222,9299","1"
"Барабан 3532.10.04.001 ","03.04.2018","274222,9299","1"
"Барабан 3537.35.05.000","2019-12-15 00:00:00","1496815,287","1"
"Барабан 3537.35.05.000","2019-04-25 00:00:00","1496815,287","1"
"Барабан 3547.00.04.410 ","2019-08-05 00:00:00","16878,98089","1"
"Барабан 3547.00.04.410 ","26.07.2019","16878,98089","1"
"БАРАБАН КАБЕЛЬНЫЙ 3537.35.05.000","2017-05-18 00:00:00","1199019,108","1"
"Блок-шестерня  3532.10.01.300","2018-07-15 00:00:00","1151280,255","1"
"Блок-шестерня  3532.10.01.300","2018-03-30 00:00:00","808917,1975","1"
"Блок-шестерня  3532.10.01.300","2019-07-10 00:00:00","1234543,949","6"
"Блок-шестерня  3532.10.01.300","2018-11-05 00:00:00","541401,2739","1"
"Блок-шестерня  3532.10.01.300","2018-11-30 00:00:00","541401,2739","1"
"Блок-шестерня  3532.10.01.300","2018-03-29 00:00:00","808917,1975","1"
"Блок-шестерня  3532.10.01.300","2019-05-20 00:00:00","700636,9427","6"
"Блок-шестерня  3532.10.01.300","2019-03-31 00:00:00","812101,9108","6"
"Блок-шестерня 3532.10.01.300","12.08.2019","541401,2739","1"
"Блок-шестерня 3532.10.01.300","2020-01-15 00:00:00","812101,9108","1"
"Блок-шестерня 3532.10.01.300","2019-06-10 00:00:00","541401,2739","1"
"Блок-шестерня 3532.10.01.300","08.07.2019","812101,9108","2"
"Блок-шестерня 3532.10.01.300","15.05.2019","541401,2739","1"
"Блок-шестерня 3532.10.01.300","18.05.2019","812101,9108","1"
"Блок-шестерня 3532.10.01.300","25.02.2019","541401,2739","1"
"Блок-шестерня 3532.10.01.300","23.03.2019","812101,9108","1"
"Блок-шестерня 3532.10.01.300","2019-03-30 00:00:00","541401,2739","1"
"Блок-шестерня 3532.10.01.300","2019-04-30 00:00:00","541401,2739","1"
"Блок-шестерня 3532.10.01.300","2019-02-15 00:00:00","812101,9108","1"
"Блок-шестерня 3532.10.01.300","2019-11-15 00:00:00","812101,9108","1"
"Блок-шестерня 3532.10.01.300","2019-05-15 00:00:00","812101,9108","1"
"Блок-шестерня 3532.10.01.300","2019-07-15 00:00:00","812101,9108","2"
"БЛОК-ШЕСТЕРНЯ 3532.10.01.300 ","2016-04-15 00:00:00","449926,1146","1"
"БЛОК-ШЕСТЕРНЯ 3532.10.01.300 ","2017-03-10 00:00:00","993859,8726","2"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2018-03-10 00:00:00","317834,3949","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2018-07-10 00:00:00","317834,3949","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2017-11-10 00:00:00","567515,9236","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2017-03-20 00:00:00","567515,9236","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2018-08-30 00:00:00","567515,9236","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2018-08-30 00:00:00","567515,9236","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2017-10-15 00:00:00","567515,9236","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2018-03-15 00:00:00","317834,3949","1"
"БЛОК-ШЕСТЕРНЯ С ПОДШ. 3532.10.01.300СБ","2017-03-02 00:00:00","567515,9236","1"
"Блок  3536.03.00.150","2019-06-09 00:00:00","494894,9045","4"
"Блок  3536.03.00.150","","267515,9236","4"
"Блок  3536.03.00.150","2018-12-10 00:00:00","318471,3376","1"
"Блок  3536.03.03.000","2019-04-30 00:00:00","1143312,102","1"
"Блок  3536.03.03.000","2019-01-21 00:00:00","1954091,083","1"
"БЛОК 1080.02.30 УРАВНИТЕЛЬНЫЙ","2018-05-05 00:00:00","19108,28025","1"
"БЛОК 1080.02.30 УРАВНИТЕЛЬНЫЙ","2018-05-05 00:00:00","19108,28025","1"
"Блок 1080.10.45 ","2020-04-25 00:00:00","11464,96815","2"
"Блок 11077.26.06","2021-10-20 00:00:00","106305,7325","1"
"Блок 11077.26.06","04.08.2018","189490,4459","1"
"Блок 11077.26.06","20.10.2021","106305,7325","1"
"Блок 11077.26.06","15.05.2018","189490,4459","1"
"Блок 11077.26.06","2021-12-05 00:00:00","106305,7325","1"
"Блок 3519.21.00.008","2019-02-15 00:00:00","156007,6433","1"
"Блок 3519.21.00.008","2019-11-15 00:00:00","156007,6433","1"
"Блок 3519.21.00.008","2019-05-15 00:00:00","107643,3121","2"
"Блок 3519.21.00.008","15.11.2019","156007,6433","1"
"Блок 3519.21.00.008","11.06.2019","107643,3121","2"
"Блок 3519.21.00.008","31.08.2019","107643,3121","1"
"Блок 3519.21.00.008","2020-03-15 00:00:00","107643,3121","3"
"Блок 3519.21.00.008","2019-04-15 00:00:00","156007,6433","1"
"Блок 3519.21.00.008","2019-07-15 00:00:00","156007,6433","1"
"Блок 3519.21.00.008","2019-08-30 00:00:00","107643,3121","1"
"Блок 3519.21.00.011","2019-04-30 00:00:00","107643,3121","1"
"Блок 3519.21.00.011","2019-06-20 00:00:00","156055,414","1"
"Блок 3519.21.00.011","2019-05-15 00:00:00","107643,3121","1"
"Блок 3519.21.00.011","2019-10-25 00:00:00","156055,414","1"
"Блок 3519.21.00.011","2019-11-16 00:00:00","107643,3121","1"
"Блок 3519.21.00.011","26.02.2020","107643,3121","4"
"Блок 3519.21.00.011","19.02.2019","156055,414","1"
"Блок 3519.21.00.011","28.02.2018","83133,75796","2"
"Блок 3519.21.00.011","2020-03-15 00:00:00","107643,3121","4"
"Блок 3519.21.00.011","2019-05-15 00:00:00","107643,3121","5"
"Блок 3519.21.00.011","2019-02-15 00:00:00","156055,414","1"
"Блок 3519.21.00.011","2019-04-15 00:00:00","156055,414","1"
"Блок 3519.21.00.011","2019-07-15 00:00:00","156055,414","1"
"Блок 3519.21.00.011","2019-11-15 00:00:00","156055,414","1"
"Блок 3519.21.00.011","2019-04-30 00:00:00","107643,3121","1"
"БЛОК 3519.21.00.011","2018-02-25 00:00:00","83133,75796","2"
"БЛОК 3519.21.00.011","2016-06-30 00:00:00","121063,6943","1"
"Блок 3536.03.00.150","2019-04-30 00:00:00","267515,9236","1"
"Блок 3536.03.00.150","01.07.2019","267515,9236","1"
"Блок 3536.03.00.150","2019-02-20 00:00:00","267515,9236","1"
"Блок 3536.03.00.150","2019-07-30 00:00:00","267515,9236","1"
"Блок 3536.03.00.150","06.10.2021","308917,1975","2"
"Блок 3536.03.00.150","27.06.2018","318471,3376","1"
"Блок 3536.03.00.150","2021-09-10 00:00:00","308917,1975","2"
"Блок 3536.03.00.150","2020-02-15 00:00:00","267515,9236","1"
"Блок 3536.03.03.000","2019-04-15 00:00:00","1954091,083","1"
"Блок 3536.03.03.000","17.04.2019","1954091,083","1"
"Блок 3536.03.03.000","2022-06-05 00:00:00","1891794,268","2"
"Блок 3537.03.04.300 ","2022-01-10 00:00:00","1539523,567","2"
"Блок 3537.03.04.300 ","2023-12-31 00:00:00","769761,7834","2"
"Блок 3537.03.04.300 ","2023-12-31 00:00:00","769761,7834","2"
"Блок 3537.03.04.300 ","2022-01-10 00:00:00","769761,7834","2"
"БЛОК В СБОРЕ 3536.03.00.150 ","2017-11-30 00:00:00","400140,1274","2"
"БЛОК В СБОРЕ 3536.03.00.150 ","2017-04-10 00:00:00","400140,1274","2"
"Блок головной 3548.03.03.000 ","2019-04-30 00:00:00","724033,758","2"
"Блок головной 3548.03.03.000 ","06.05.2019","724033,758","2"
"БЛОК НАПОР.ВАЛА 11075.05.300-1 СБ","2017-04-10 00:00:00","2206423,567","1"
"БЛОК НАПОР.ВАЛА 11075.05.300-1 СБ","2016-06-10 00:00:00","2206423,567","1"
"БЛОК ОТКЛОН 11077.03.500","2018-10-22 00:00:00","192416,5605","1"
"Блок отклон. 11077.03.500 ","31.01.2019","192416,5605","1"
"Блок ТРМЗ 11077.26.06","2018-08-15 00:00:00","189490,4459","1"
"Блок ТРМЗ 11077.26.06","2018-12-10 00:00:00","189490,4459","1"
"Блок ТРМЗ 11077.26.06","2018-12-10 00:00:00","189490,4459","1"
"Блок ТРМЗ 3519.21.00.008","2019-01-21 00:00:00","156007,6433","4"
"Блок ТРМЗ 3519.21.00.008","2018-03-10 00:00:00","42038,21656","1"
"Блок ТРМЗ 3519.21.00.008","2018-04-29 00:00:00","47770,70064","1"
"Блок ТРМЗ 3519.21.00.008","2019-08-08 00:00:00","107643,3121","4"
"Блок ТРМЗ 3519.21.00.008","2018-03-15 00:00:00","42038,21656","1"
"Блок ТРМЗ 3519.21.00.011","2019-06-19 00:00:00","107643,3121","4"
"Блок ТРМЗ 3519.21.00.011","2018-06-15 00:00:00","92356,6879","3"
"Блок ТРМЗ 3519.21.00.011","2019-01-21 00:00:00","156055,414","4"
"Блок ТРМЗ 3519.21.00.011","2019-04-30 00:00:00","107643,3121","2"
"БЛОК УПР БРТИ ЮР 2990","2017-05-05 00:00:00","66624,20382","1"
"БЛОК УПР БРТИ ЮР 2990","2016-09-20 00:00:00","66878,98089","1"
"БЛОК УПР БРТИ ЮР 2990","2016-04-30 00:00:00","66878,98089","1"
